age,x,Nx_m,Nx_f,Lx_m,Lx_f,Fx,Mx_f
00--05,0,310189,293395,496754,497487,0,6840
05--10,5,261963,248369,496297,497138,0,4150
10--15,10,252046,240012,495989,496901,0,3365
15--20,15,274711,261346,495113,496531,0.012,5270
20--25,20,296679,285209,493460,495902,0.0908,9240
25--30,25,333726,314388,491475,495168,0.1499,8230
30--35,30,296774,281290,489325,494213,0.1125,5470
35--40,35,299391,286923,486487,492760,0.0441,3155
40--45,40,314295,304108,482392,490447,0.0074,1770
45--50,45,338709,324946,476532,486613,0.0003,1115
50--55,50,256066,247613,467568,480665,0,1075
55--60,55,208841,211351,452941,471786,0,845
60--65,60,199996,215140,428556,457852,0,645
65--70,65,197282,221764,390707,436153,0,530
70--75,70,184234,223506,336027,402775,0,465
75--80,75,133856,183654,261507,350358,0,300
80--85,80,86732,141990,172333,271512,0,250
85+,85,49095,112424,128631,291707,0,175
